scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,3,SN5629,SN,BRUSSELS AIRLINES,2023-04-01,06:55:00+02:00,2023-04-01,13:35:00+03:00,580.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,2,SN5589,SN,BRUSSELS AIRLINES,2023-04-01,19:15:00+02:00,2023-04-02,14:35:00+03:00,752.32,218.32
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,3,SN5589,SN,BRUSSELS AIRLINES,2023-04-01,19:15:00+02:00,2023-04-02,14:35:00+03:00,1040.32,227.32
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,4,SN5629,SN,BRUSSELS AIRLINES,2023-04-02,06:55:00+02:00,2023-04-02,14:35:00+03:00,677.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:35,2,1,SN5587,SN,BRUSSELS AIRLINES,2023-04-02,07:00:00+02:00,2023-04-02,14:35:00+03:00,1034.11,221.11
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,17:20,2,9,SN5589,SN,BRUSSELS AIRLINES,2023-04-07,19:15:00+02:00,2023-04-08,13:35:00+03:00,557.32,218.32
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-08,06:55:00+02:00,2023-04-08,13:35:00+03:00,482.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,1,SN5589,SN,BRUSSELS AIRLINES,2023-04-08,19:15:00+02:00,2023-04-09,14:35:00+03:00,505.32,218.32
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,8,SN5629,SN,BRUSSELS AIRLINES,2023-04-09,06:55:00+02:00,2023-04-09,14:35:00+03:00,378.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:35,2,2,SN5587,SN,BRUSSELS AIRLINES,2023-04-09,07:00:00+02:00,2023-04-09,14:35:00+03:00,447.11,212.11
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,8,SN5629,SN,BRUSSELS AIRLINES,2023-04-15,06:55:00+02:00,2023-04-15,13:35:00+03:00,272.58,113.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,2,SN5589,SN,BRUSSELS AIRLINES,2023-04-15,19:15:00+02:00,2023-04-16,14:35:00+03:00,332.32,173.32
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,9,SN5589,SN,BRUSSELS AIRLINES,2023-04-15,19:15:00+02:00,2023-04-16,14:35:00+03:00,557.32,218.32
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,8,SN5629,SN,BRUSSELS AIRLINES,2023-04-16,06:55:00+02:00,2023-04-16,14:35:00+03:00,320.58,131.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-22,06:55:00+02:00,2023-04-22,13:35:00+03:00,482.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:40,2,2,SN4551,SN,BRUSSELS AIRLINES,2023-04-22,06:20:00+02:00,2023-04-22,20:00:00+03:00,582.69,213.69
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:40,2,7,SN4551,SN,BRUSSELS AIRLINES,2023-04-22,06:20:00+02:00,2023-04-22,20:00:00+03:00,680.69,213.69
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-23,06:55:00+02:00,2023-04-23,14:35:00+03:00,677.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,20:35,2,9,SN4563,SN,BRUSSELS AIRLINES,2023-04-25,19:20:00+02:00,2023-04-26,16:55:00+03:00,304.43,150.43
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,20:35,2,9,SN4563,SN,BRUSSELS AIRLINES,2023-04-25,19:20:00+02:00,2023-04-26,16:55:00+03:00,316.74,162.74
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,09:00,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-04-26,06:55:00+02:00,2023-04-26,16:55:00+03:00,259.28,105.28
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,09:35,2,9,SN4551,SN,BRUSSELS AIRLINES,2023-04-26,06:20:00+02:00,2023-04-26,16:55:00+03:00,310.69,156.69
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-29,06:55:00+02:00,2023-04-29,13:35:00+03:00,580.58,143.58
2023-03-22,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,9,SN5589,SN,BRUSSELS AIRLINES,2023-04-29,19:15:00+02:00,2023-04-30,14:35:00+03:00,655.32,218.32
